,0
0,0.342
1,0.4247
2,0.4731
3,0.5295
4,0.4278
5,0.4887
6,0.4479
7,0.4095
8,0.3217
9,0.4683
10,0.3995
11,0.501
12,0.4481
13,0.7673
14,0.2976
15,0.4242
16,0.3765
17,0.5828
18,0.8363
19,0.4186
20,0.3099
21,0.3764
22,0.5381
23,0.405
24,0.5794
25,0.6786
26,0.4553
27,0.3858
28,0.434
29,0.4578
30,0.4775
31,0.6709
32,0.3482
33,0.4415
34,0.4752
35,0.4399
36,0.4123
37,0.4158
38,0.6878
39,0.4447
40,0.5472
41,0.6457
42,0.4003
43,0.5085
44,0.5517
45,0.4913
46,0.5909
47,0.4338
48,0.4197
49,0.5983
50,0.3163
51,0.4936
52,0.3667
53,0.5863
54,0.3847
55,0.5328
56,0.6879
57,0.4406
58,0.4228
59,0.345
60,0.4418
61,0.6963
62,0.5759
63,0.6734
64,0.7181
65,0.6118
66,0.4091
67,0.6518
68,0.3802
69,0.8106
70,0.3906
71,0.4657
72,0.5401
73,0.6012
74,0.611
75,0.5087
76,0.5875
77,0.4944
78,0.4689
79,0.4597
80,0.3249
81,0.4096
82,0.7451
83,0.5513
84,0.3484
85,0.6865
86,0.5463
87,0.3808
88,0.2938
89,0.5853
90,0.5811
91,0.5349
92,0.4855
93,0.6413
94,0.4346
95,0.7404
96,0.3943
97,0.4681
98,0.5129
99,0.3531
100,0.4171
101,0.4207
102,0.5816
103,0.6179
104,0.4636
105,0.3552
106,0.523
107,0.5557
108,0.3586
109,0.6084
110,0.4318
111,0.6927
112,0.4552
113,0.7067
114,0.4781
115,0.5467
116,0.261
117,0.5715
118,0.5171
119,0.5442
120,0.5505
121,0.694
122,0.4168
123,0.3771
124,0.4696
125,0.4076
126,0.6358
127,0.7357
128,0.5782
129,0.4842
130,0.6017
131,0.7195
132,0.5071
133,0.2659
134,0.6213
135,0.4828
136,0.3788
137,0.661
138,0.5178
139,0.4372
140,0.7768
141,0.3739
142,0.4277
143,0.4816
144,0.5361
145,0.4616
146,0.4408
147,0.5433
148,0.4425
149,0.3447
150,0.4517
151,0.4435
152,0.3784
153,0.3935
154,0.446
155,0.4792
156,0.3928
157,0.6121
158,0.4483
159,0.3737
160,0.4031
161,0.4049
162,0.6015
163,0.4293
164,0.5346
165,0.4002
166,0.4353
167,0.6704
168,0.6875
169,0.4474
170,0.3863
171,0.6612
172,0.4189
173,0.6177
174,0.4588
175,0.5768
176,0.4841
177,0.4491
178,0.4301
179,0.415
180,0.3387
181,0.5407
182,0.5194
183,0.608
184,0.6783
185,0.2948
186,0.5499
187,0.4061
188,0.5101
189,0.4061
190,0.4452
191,0.4421
192,0.6245
193,0.4229
194,0.6119
195,0.3916
196,0.4974
197,0.6242
198,0.7037
199,0.4383
200,0.2912
201,0.6832
202,0.5243
203,0.2746
204,0.4696
205,0.5315
206,0.5825
207,0.491
208,0.4778
209,0.7245
210,0.4294
211,0.6823
212,0.6053
213,0.6122
214,0.4005
215,0.455
216,0.4113
217,0.3264
218,0.8499
219,0.4777
220,0.4565
221,0.523
222,0.5096
223,0.6019
224,0.4122
225,0.4136
226,0.5287
227,0.5599
228,0.7278
229,0.4167
230,0.5308
231,0.4915
232,0.6584
233,0.363
234,0.4584
235,0.2052
236,0.3776
237,0.8095
238,0.4826
239,0.6021
240,0.7454
241,0.8108
242,0.4272
243,0.4377
244,0.5936
245,0.734
246,0.441
247,0.4249
248,0.6672
249,0.6694
250,0.3875
251,0.4346
252,0.3186
253,0.4909
254,0.5134
255,0.5277
256,0.4483
257,0.6647
258,0.3841
259,0.4476
260,0.497
261,0.593
262,0.5983
263,0.3678
264,0.4286
265,0.6888
266,0.5018
267,0.4608
268,0.811
269,0.516
270,0.6282
271,0.5253
272,0.493
273,0.7165
274,0.4635
275,0.5965
276,0.3643
277,0.4137
278,0.3978
279,0.4532
280,0.4133
281,0.4324
282,0.6112
283,0.4625
284,0.7528
285,0.3045
286,0.8741
287,0.5513
288,0.62
289,0.6713
290,0.4586
291,0.3823
292,0.5956
293,0.5263
294,0.4402
295,0.3024
296,0.661
297,0.3403
298,0.3151
299,0.4321
300,0.6972
301,0.454
302,0.6462
303,0.2929
304,0.3128
305,0.7706
306,0.426
307,0.5064
308,0.3267
309,0.5849
310,0.8703
311,0.4164
312,0.736
313,0.3816
314,0.6211
315,0.5421
316,0.5021
317,0.5133
318,0.5177
319,0.6356
320,0.5271
321,0.4093
322,0.6903
323,0.4662
324,0.4598
325,0.3506
326,0.3788
327,0.816
328,0.4354
329,0.4716
330,0.6221
331,0.5457
332,0.4098
333,0.42
334,0.5556
335,0.6655
336,0.5877
337,0.5461
338,0.4947
339,0.2997
340,0.4641
341,0.4672
342,0.2704
343,0.5477
344,0.5215
345,0.5841
346,0.5128
347,0.3613
348,0.2664
349,0.2967
350,0.3219
351,0.5275
352,0.5357
353,0.4546
354,0.8997
355,0.6684
356,0.5686
357,0.4269
358,0.705
359,0.6075
360,0.4479
361,0.3928
362,0.4164
363,0.4616
364,0.4778
365,0.6633
366,0.5136
367,0.3896
368,0.6481
369,0.621
370,0.6151
371,0.4545
372,0.4661
373,0.3916
374,0.4882
375,0.388
376,0.3106
377,0.5584
378,0.5665
379,0.4985
380,0.5671
